"DBID"	"LabID"	"OthLabID"	"OthDateCode"	"Problems"	"CRA"	"Error"	"DC13"	"OthMeasures"	"DateMethod"	"Material"	"Species"	"SiteName"	"SiteContext"	"CulturalPeriod"	"SitePhase"	"SiteType"	"AdminRegion"	"Country"	"Longitude"	"Latitude"	"Comments"	"Source"
19	"AA-10820"				3313	55			"AMS"	"charcoal"	""	"Tsoungiza. Nemea"	"Tsoungiza 2"	""		"settlement"	"Peloponnese"	"GR"	"22.698477"	"37.807846"		"BronkRamseyetal2004;Manningetal2006"
20	"AA-10821"				3978	51			"AMS"	"charcoal"	""	"Tsoungiza. Nemea"		""		"settlement"	"Peloponnese"	"GR"	"22.698477"	"37.807846"		"ArvanitiManiatis2018;JungWeninger2015"
21	"AA-10822"				4039	80			"AMS"	"charcoal"	""	"Tsoungiza. Nemea"		""		"settlement"	"Peloponnese"	"GR"	"22.698477"	"37.807846"		"ArvanitiManiatis2018;JungWeninger2015"
22	"AA-10823"				3920	60			"AMS"	"charcoal"	""	"Tsoungiza. Nemea"		""		"settlement"	"Peloponnese"	"GR"	"22.698477"	"37.807846"		"ArvanitiManiatis2018;JungWeninger2015"
23	"AA-25328"			"ArchMismatch"	5395	65	"-26.6"		"AMS"	"charcoal"	""	"Halai"	"Trench F9. W and SW of Bld III, h:1.49-1.61 asl"	"Middle Neolithic (later)"		"settlement"	"Central Greece"	"GR"	"23.182545"	"38.663385"	"Sample Date:17/7/1996;The date is judged too late for the archaeological context;EUnr:F9g(79)50"	"BramiZanotti2015;FacorellisColeman2012;Weninger2017"
24	"AA-25329"				7230	55	"-23.3"		"AMS"	"charcoal"	""	"Halai"	"Trench F9. Bld. III, h:1.09 asl"	"Middle Neolithic (later)-Late Neolithic I (earlier)"		"settlement"	"Central Greece"	"GR"	"23.182545"	"38.663385"	"Sample Date:23/7/1996;EUnr:F9g(88)325"	"BramiZanotti2015;FacorellisColeman2012;Weninger2017"
25	"AA-25330"				7340	55	"-22.9"		"AMS"	"charcoal"	""	"Halai"	"Trench F9. Room 22, Lower levels, h:0.72-0.75 asl"	"Middle Neolithic (earlier)"		"settlement"	"Central Greece"	"GR"	"23.182545"	"38.663385"	"Sample Date:26/7/1996;EUnr:F9g(154)184"	"BramiZanotti2015;FacorellisColeman2012"
26	"AA-25331"				6550	70	"-25.3"		"AMS"	"charcoal"	""	"Halai"	"Trench F101. SE strip, h:1.65-2.00 asl, 1.87 asl"	"Late Neolithic I"		"settlement"	"Central Greece"	"GR"	"23.182545"	"38.663385"	"Sample Date:23/7/1996;EUnr:F101g(45)162"	"BramiZanotti2015;FacorellisColeman2012;Weninger2017"
27	"AA-2739"			"Environmental"	3345	70			"AMS"	""	""	"Kleonai valley"	"Kleonai Core"	""		"landscape"	"Peloponnese"	"GR"	"22.777987"	"37.814813"		"Wrightetal1990"
28	"AA-2740"			"Environmental"	3820	50			"AMS"	""	""	"Kleonai valley"	"Kleonai Core"	""		"landscape"	"Peloponnese"	"GR"	"22.777987"	"37.814813"		"Wrightetal1990"
29	"AA-2741"			"Environmental"	4770	70			"AMS"	""	""	"Kleonai valley"	"Kleonai Core"	""		"landscape"	"Peloponnese"	"GR"	"22.777987"	"37.814813"		"Wrightetal1990"
30	"AA-2742"			"Environmental"	6150	70			"AMS"	""	""	"Kleonai valley"	"Kleonai Core"	""		"landscape"	"Peloponnese"	"GR"	"22.777987"	"37.814813"		"Wrightetal1990"
31	"AA-2743"			"Environmental"	7495	60			"AMS"	""	""	"Kleonai valley"	"Kleonai Core"	""		"landscape"	"Peloponnese"	"GR"	"22.777987"	"37.814813"		"Wrightetal1990"
32	"AA-2744"			"Environmental"	7475	60			"AMS"	""	""	"Kleonai valley"	"Kleonai Core"	""		"landscape"	"Peloponnese"	"GR"	"22.777987"	"37.814813"		"Wrightetal1990"
33	"AA-2745"			"Environmental"	9030	100			"AMS"	""	""	"Kleonai valley"	"Kleonai Core"	""		"landscape"	"Peloponnese"	"GR"	"22.777987"	"37.814813"		"Wrightetal1990"
34	"AA-31"				6220	130			"AMS"	"charcoal"	""	"Franchthi Koilada Bay"	"FC1. d:5.40-5.60"	""		"open-air site"	"Peloponnese"	"GR"	"23.135123"	"37.418386"		"BramiZanotti2015;ReingruberThissen2005"
35	"AA-32"				7610	150			"AMS"	"charcoal"	""	"Franchthi Koilada Bay"	"FC2. d:5.45-5.65"	"Early Neolithic"		"open-air site"	"Peloponnese"	"GR"	"23.135123"	"37.418386"	"pollen core"	"BramiZanotti2015;ReingruberThissen2005"
36	"AA-41845"				3390	42	"-25.2"		"AMS"	"charcoal"	""	"Paleopolis (roadcut). Kythera"	"Soil profile from agricultural terrace. 2.1 mbs"	""		"terrace"	"Attica"	"GR"	"23.05803"	"36.226434"	"Presumed Middle Minoan terrace fill"	"KrahtopoulouFrederick2008"
37	"AA-41846"			"Environmental"	79	71	"-25.7"		"AMS"	"charcoal"	""	"Livadi (section). Kythera"	"2.6 mbs"	""		"terrace"	"Attica"	"GR"	"22.978128"	"36.162656"	"Soil profile from agricultural terrace;Near base of colluvium with EBA ceramics; probably was a root"	"KrahtopoulouFrederick2008"
38	"AA-41847"				3512	43	"-26.4"		"AMS"	"charcoal"	""	"Livadi (section). Kythera"	"1.2 mbs"	""		"terrace"	"Attica"	"GR"	"22.978128"	"36.162656"	"Soil profile from agricultural terrace;Top of colluvium with EBA ceramics"	"KrahtopoulouFrederick2008"
39	"AA-41848"			"Environmental"	187	36	"-22.4"		"AMS"	"charcoal"	""	"Livadi (section). Kythera"	"0.48 mbs"	""		"terrace"	"Attica"	"GR"	"22.978128"	"36.162656"	"Soil profile from agricultural terrace;From upper terrace fill"	"KrahtopoulouFrederick2008"
40	"AA-58172"				3591	52			"AMS"	"bone"	"Homo sapiens"	"Tourla. Goules"	"2. Tomb 40"	"Middle Bronze Age"		"cemetery"	"Western Macedonia"	"GR"	"21.901775"	"40.159551"		"Ziota2007"
41	"AA-58174"				3508	50			"AMS"	"bone"	"Homo sapiens"	"Tourla. Goules"	"4. Tomb 55"	"Middle Bronze Age"		"cemetery"	"Western Macedonia"	"GR"	"21.901775"	"40.159551"		"Ziota2007"
42	"AA-73817"				31630	250			"AMS"	"charcoal"	""	"Klissoura 1 Cave. Argolid"	"Layer IIIe-g"	"Aurignacian"		"cave"	"Peloponnese"	"GR"	"22.810841"	"37.691605"	"ABOX pretreatment;raw c14 age"	"ElefantiMarshall2015;Kuhnetal2010"
43	"AA-73818"				41480	810			"AMS"	"charcoal"	""	"Klissoura 1 Cave. Argolid"	"Layer VI"	""		"cave"	"Peloponnese"	"GR"	"22.810841"	"37.691605"	"ABOX pretreatment;raw c14 age"	"Kuhnetal2010"
44	"AA-73819"				40920	580			"AMS"	"charcoal"	""	"Klissoura 1 Cave. Argolid"	"Layer VI"	""		"cave"	"Peloponnese"	"GR"	"22.810841"	"37.691605"	"ABOX pretreatment;raw c14 age"	"Kuhnetal2010"
45	"AA-73820"				48990	1770			"AMS"	"charcoal"	""	"Klissoura 1 Cave. Argolid"	"Layer VII"	"Middle Palaeolithic"		"cave"	"Peloponnese"	"GR"	"22.810841"	"37.691605"	"ABOX pretreatment;raw c14 age"	"Kuhnetal2010"
46	"AA-73821"				31460	210			"AMS"	"charcoal"	""	"Klissoura 1 Cave. Argolid"	"Layer III'"	"Upper Palaeolithic"		"cave"	"Peloponnese"	"GR"	"22.810841"	"37.691605"	"ABOX pretreatment;raw c14 age"	"Kuhnetal2010"
47	"AA-73830"				56140	1450			"AMS"	"charcoal"	""	"Klissoura 1 Cave. Argolid"	"Layer XVIII"	"Middle Palaeolithic"		"cave"	"Peloponnese"	"GR"	"22.810841"	"37.691605"	"ABOX pretreatment;raw c14 age"	"Kuhnetal2010"
48	"AA-73831"				62290	3930			"AMS"	"charcoal"	""	"Klissoura 1 Cave. Argolid"	"Layer XVIII"	"Middle Palaeolithic"		"cave"	"Peloponnese"	"GR"	"22.810841"	"37.691605"	"ABOX pretreatment;raw c14 age"	"Kuhnetal2010"
49	"AA-73832"				60250	2700			"AMS"	"charcoal"	""	"Klissoura 1 Cave. Argolid"	"Layer XXc"	"Middle Palaeolithic"		"cave"	"Peloponnese"	"GR"	"22.810841"	"37.691605"	"ABOX pretreatment;raw c14 age"	"Kuhnetal2010"
50	"AA-75628"				33150	120			"AMS"	"charcoal"	""	"Klissoura 1 Cave. Argolid"	"Layer IV/V"	"Upper Palaeolithic (Uluzzian)"		"cave"	"Peloponnese"	"GR"	"22.810841"	"37.691605"	"ABOX pretreatment;raw c14 age"	"Kuhnetal2010"
51	"AA-75629"				32690	110			"AMS"	"charcoal"	""	"Klissoura 1 Cave. Argolid"	"Layer IV/V"	"Upper Palaeolithic (Uluzzian)"		"cave"	"Peloponnese"	"GR"	"22.810841"	"37.691605"	"ABOX pretreatment;raw c14 age"	"Kuhnetal2010"
52	"AA-97258"				2435	42	"-25.9"		"AMS"	"charcoal"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A1a-1. Trench Z, Z123, h:1380.90-1380.85"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
53	"AA-97259"				2512	39	"-26.6"		"AMS"	"charcoal"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A1a-2. Trench Z, Z123, h:1380.90-1380.85"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
54	"AA-97260"				2512	39	"-19.2"		"AMS"	"seed"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A1b-1. Trench Z, Z123, h:1380.90-1380.85"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
55	"AA-97261"				2509	38	"-24.2"		"AMS"	"seed"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A1b-2. Trench Z, Z123, h:1380.90-1380.85"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
56	"AA-97262"				2517	48	"-23"		"AMS"	"bone (charred)"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A1c-1. Trench Z, Z123, h:1380.90-1380.85"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
57	"AA-97263"				2503	48	"-27.1"		"AMS"	"bone (charred)"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A1c-2. Trench Z, Z123, h:1380.90-1380.85"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
58	"AA-97264"				2515	48	"-24.1"		"AMS"	"bone (charred)"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A1c-3. Trench Z, Z123, h:1380.90-1380.85"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
59	"AA-97265"				2537	49	"-22"		"AMS"	"bone (charred)"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A3. Trench Z, Z123, h:1380.80-1380.75"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
60	"AA-97266"				2472	39	"-23.2"		"AMS"	"charcoal"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A2a-1. Trench Z, Z123, h:1380.85-1380.80"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
61	"AA-97267"				2454	39	"-26.1"		"AMS"	"charcoal"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A2a-2. Trench Z, Z123, h:1380.85-1380.80"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
62	"AA-97268"				2510	48	"-25.2"		"AMS"	"bone (charred)"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A2c-1. Trench Z, Z123, h:1380.85-1380.80"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
63	"AA-97269"				2564	48	"-23.9"		"AMS"	"bone (charred)"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A2c-2. Trench Z, Z123, h:1380.85-1380.80"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
64	"AA-97270"				2497	48	"-26.6"		"AMS"	"bone (charred)"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A2c-3. Trench Z, Z123, h:1380.85-1380.80"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
65	"AA-97271"				2552	49	"-22.1"		"AMS"	"bone (charred)"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A3. Trench Z, Z123, h:1380.80-1380.75"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
66	"AA-97272"				2558	39	"-24.5"		"AMS"	"charcoal"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A3a-1. Trench Z, Z123, h:1380.80-1380.75"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
67	"AA-97273"				2501	44	"-25.4"		"AMS"	"charcoal"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A3a-2. Trench Z, Z123, h:1380.80-1380.75"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
68	"AA-97274"				2574	39	"-24.8"		"AMS"	"seed"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A3b-1. Trench Z, Z123, h:1380.80-1380.75"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
69	"AA-97275"				2499	38	"-21"		"AMS"	"seed"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A3b-2. Trench Z, Z123, h:1380.80-1380.75"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
70	"AA-97276"				2654	49	"-20.8"		"AMS"	"bone (charred)"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A3c-1. Trench Z, Z123, h:1380.80-1380.75"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
71	"AA-97277"				2757	49	"-24.4"		"AMS"	"bone (charred)"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A3c-2. Trench Z, Z123, h:1380.80-1380.75"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
72	"AA-97278"				2525	56	"-23.4"		"AMS"	"bone (charred)"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A3c-3. Trench Z, Z123, h:1380.80-1380.75"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
73	"AA-97279"				2505	48	"-22.3"		"AMS"	"bone (charred)"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A3. Trench Z, Z123, h:1380.80-1380.75"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
74	"AA-97280"				2541	38	"-24.2"		"AMS"	"charcoal"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A4a-1. Trench Z, Z123, h:1380.75-1380.70"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
75	"AA-97281"				2442	37	"-23.4"		"AMS"	"seed"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A4b-1. Trench Z, Z123, h:1380.75-1380.70"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
76	"AA-97282"				2522	37	"-21.9"		"AMS"	"seed"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A4b-2. Trench Z, Z123, h:1380.75-1380.70"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
77	"AA-97283"				2582	49	"-21.3"		"AMS"	"bone (charred)"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A4c-1. Trench Z, Z123, h:1380.75-1380.70"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
78	"AA-97284"				2457	48	"-20.4"		"AMS"	"bone (charred)"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A4c-2. Trench Z, Z123, h:1380.75-1380.70"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
79	"AA-97285"				2696	93	"-25"		"AMS"	"bone (charred)"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A4c-3. Trench Z, Z123, h:1380.75-1380.70"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
80	"AA-97286"				2579	73	"-22.2"		"AMS"	"bone (charred)"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A3. Trench Z, Z123, h:1380.80-1380.75"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
81	"AA-97287"				2680	38	"-24.7"		"AMS"	"charcoal"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A5a-1. Trench Z, Z123, h:1380.70-1380.65"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
82	"AA-97288"				2481	46	"-25.1"		"AMS"	"charcoal"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A5a-2. Trench Z, Z123, h:1380.70-1380.65"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
83	"AA-97289"				2495	37	"-22.9"		"AMS"	"seed"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A5b-1. Trench Z, Z123, h:1380.70-1380.65"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
84	"AA-97290"				2520	38	"-24.1"		"AMS"	"seed"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A5b-2Trench Z. Z123, h:1380.70-1380.65"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
85	"AA-97291"				2489	48	"-23.3"		"AMS"	"bone (charred)"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A5c-1. Trench Z, Z123, h:1380.70-1380.65"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
86	"AA-97292"				2532	48	"-23"		"AMS"	"bone (charred)"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A5c-2. Trench Z, Z123, h:1380.70-1380.65"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"		"Starkovichetal2013"
87	"AA-97293"			"LowYield?"	2860	130	"-24.6"		"AMS"	"bone (charred)"	""	"Sanctuary of Zeus. Mt. Lykaion, Arcadia"	"SID:A5c-3. Trench Z, Z123, h:1380.70-1380.65"	"Early Iron Age-Classical"		"sanctuary"	"Peloponnese"	"GR"	"21.98455"	"37.443948"	"Outlier (small sample)"	"Starkovichetal2013"
