"DBID"	"LabID"	"OthLabID"	"OthDateCode"	"Problems"	"CRA"	"Error"	"DC13"	"OthMeasures"	"DateMethod"	"Material"	"Species"	"SiteName"	"SiteContext"	"CulturalPeriod"	"SitePhase"	"SiteType"	"AdminRegion"	"Country"	"Longitude"	"Latitude"	"Comments"	"Source"
1	"A-10827"				4499	53			"AMS"	"charcoal"	""	"Tsoungiza. Nemea"		""		"settlement"	"Peloponnese"	"GR"	"22.698477"	"37.807846"		"ArvanitiManiatis2018"
2	"A-7264"				6980	170	"-26.3"			"charcoal"	""	"Halai"	"Trench F2. Stratum 3, Hearth near middle of trench, h:1.69 asl"	"Middle Neolithic (later)"		"settlement"	"Central Greece"	"GR"	"23.182545"	"38.663385"	"Sample Date:8/7/1992;EUnr:F2c(118)216"	"BramiZanotti2015;FacorellisColeman2012;O'Neilletal1999;ReingruberetalThissen2005"
3	"A-7265"				7070	165	"-24.2"			"charcoal"	""	"Halai"	"Trench F2. Stratum 3, Hearth in S quadrant (“Chimney”), h:1.70-2.16 asl"	"Middle Neolithic (later)"		"settlement"	"Central Greece"	"GR"	"23.182545"	"38.663385"	"Sample Date:8/7/1992;EUnr:F2c(119)222"	"BramiZanotti2015;FacorellisColeman2012;O'Neilletal1999;ReingruberetalThissen2005"
4	"A-7266"				7285	145	"-21.4"			"charcoal"	""	"Halai"	"Trench F2. Stratum 3, Small hearth in W quadrant, h:1.70 asl"	"Middle Neolithic (earlier)"		"settlement"	"Central Greece"	"GR"	"23.182545"	"38.663385"	"Sample Date:9/7/1992;EUnr:F2c(121)263"	"BramiZanotti2015;FacorellisColeman2012;O'Neilletal1999;ReingruberetalThissen2005"
5	"A-7267"				6905	90	"-25.2"			"charcoal"	""	"Halai"	"Trench F2. Stratum 2, hearth near E corner in S quadrant, h:1.28-1.38 asl"	"Middle Neolithic (earlier)"		"settlement"	"Central Greece"	"GR"	"23.182545"	"38.663385"	"Sample Date:10/7/1992;EUnr:F2c(124)250"	"BramiZanotti2015;FacorellisColeman2012;O'Neilletal1999;ReingruberetalThissen2005"
6	"A-7268"				7530	200	"-24.9"			"charcoal"	""	"Halai"	"Trench F2. Stratum 2, hearth near E corner in S quadrant, h:1.28-1.38 asl"	"Middle Neolithic (earlier)"		"settlement"	"Central Greece"	"GR"	"23.182545"	"38.663385"	"Sample Date:13/7/1992;EUnr:F2c(127)275"	"BramiZanotti2015;FacorellisColeman2012;O'Neilletal1999;ReingruberetalThissen2005"
7	"A-7269"			"ArchMismatch"	8560	200	"-18.8"			"charcoal"	""	"Halai"	"Trench F2. Stratum 3, Hearth in S quadrant (“Chimney”), h:1.70-2.16 asl"	"Middle Neolithic (later)"		"settlement"	"Central Greece"	"GR"	"23.182545"	"38.663385"	"Sample Date:16/7/1992;The date is judged too early for the archaeological context;EUnr:F2c(139)361"	"BramiZanotti2015;FacorellisColeman2012;O'Neilletal1999;ReingruberetalThissen2005"
8	"A-7270"				6935	170	"-24.6"			"charcoal"	""	"Halai"	"Trench F2. Stratum 3, Hearth in S quadrant (“Chimney”), h:1.70-2.16 asl"	"Middle Neolithic (later)"		"settlement"	"Central Greece"	"GR"	"23.182545"	"38.663385"	"Sample Date:21/7/1992;EUnr:F2c(148)426"	"BramiZanotti2015;FacorellisColeman2012;O'Neilletal1999;ReingruberetalThissen2005"
9	"A-7271"				7325	160	"-24.3"			"charcoal"	""	"Halai"	"Trench F2. Stratum 1, Upper, h:1.00 asl"	"Early Neolithic (late)-Middle Neolithic (early)"		"settlement"	"Central Greece"	"GR"	"23.182545"	"38.663385"	"Sample Date:28/7/1992;EUnr:F2c(168)580"	"BramiZanotti2015;FacorellisColeman2012;O'Neilletal1999;ReingruberetalThissen2005"
10	"A-7272"			"ArchMismatch"	7785	180	"-23.3"			"charcoal"	""	"Halai"	"Trench F2. Stratum 2, hearth near E corner in S quadrant, h:1.28-1.38 asl"	"Middle Neolithic (earlier)"		"settlement"	"Central Greece"	"GR"	"23.182545"	"38.663385"	"Sample Date:29/7/1992;The date is judged too early for the archaeological context;EUnr:F2c(173)581c;A-7272. A-7622 and Beta-66803 from same sample"	"BramiZanotti2015;FacorellisColeman2012;O'Neilletal1999;ReingruberetalThissen2005"
11	"A-7273"				6615	75				"charcoal"	""	"Halai"	"Trench F10. Upper levels of F10 and extensions NE to “wall BL”, h:2.19 asl"	"Late Neolithic I"		"settlement"	"Central Greece"	"GR"	"23.182545"	"38.663385"	"Sample Date:28/7/1992;EUnr:F10c(16)87"	"BramiZanotti2015;FacorellisColeman2012;O'Neilletal1999;ReingruberetalThissen2005"
12	"A-7274"			"ArchMismatch"	12870	380	"-12.2"			"charcoal"	""	"Halai"	"Trench F10. Upper levels of F10 and extensions NE to “wall BL”, h:1.97-2.11 asl"	"Late Neolithic I (earlier)"		"settlement"	"Central Greece"	"GR"	"23.182545"	"38.663385"	"Sample Date:30/7/1992;The date is judged too early for the archaeological context;EUnr:F10c(25)121"	"BramiZanotti2015;FacorellisColeman2012;O'Neilletal1999;ReingruberetalThissen2005"
13	"A-7275"			"ArchMismatch"	9805	310	"-17.3"			"charcoal"	""	"Halai"	"Trench F101. h:2.16 asl, not included in catalog of stratified deposits"	"Late Neolithic I-Archaic"		"settlement"	"Central Greece"	"GR"	"23.182545"	"38.663385"	"Sample Date:9/7/1992;The date is judged too early for the archaeological context;EUnr:F101c(19)83"	"BramiZanotti2015;FacorellisColeman2012;O'Neilletal1999;ReingruberetalThissen2005"
14	"A-7622"				7065	75	"-25.8"			"charcoal"	""	"Halai"	"Trench F2. Stratum 2, hearth near E corner in S quadrant, h:1.28-1.38 asl"	"Middle Neolithic (earlier)"		"settlement"	"Central Greece"	"GR"	"23.182545"	"38.663385"	"Sample Date:29/7/1992;EUnr:F2c(173)581c;A-7272. A-7622 and Beta-66803 from same sample"	"BramiZanotti2015;FacorellisColeman2012;O'Neilletal1999;ReingruberetalThissen2005"
15	"A-9457"				7750	495	"-26.2"			"charcoal"	""	"Halai"	"Trench F9. N scarp area and north corner, h:2.00-2.09 asl"	"Middle Neolithic"		"settlement"	"Central Greece"	"GR"	"23.182545"	"38.663385"	"Sample Date:23/7/1996;EUnr:F9g(89)315;Assymetric error: 495/-465"	"BramiZanotti2015;FacorellisColeman2012"
16	"A-9459"				6955	120	"-25.5"			"charcoal"	""	"Halai"	"Trench F10. Strip 2, Stratum 3 in F2, h:1.91 asl"	"Middle Neolithic (later)"		"settlement"	"Central Greece"	"GR"	"23.182545"	"38.663385"	"Sample Date:24/7/1996;EUnr:F10g(88)428"	"BramiZanotti2015;FacorellisColeman2012"
17	"AA-10816"				3322	54			"AMS"	"charcoal"	""	"Tsoungiza. Nemea"	"Tsoungiza 4"	""		"settlement"	"Peloponnese"	"GR"	"22.698477"	"37.807846"		"BronkRamseyetal2004;Manningetal2006"
18	"AA-10818"				3317	55			"AMS"	"charcoal"	""	"Tsoungiza. Nemea"	"Tsoungiza 5"	""		"settlement"	"Peloponnese"	"GR"	"22.698477"	"37.807846"		"BronkRamseyetal2004;Manningetal2006"
