,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radiocarbon Date Upload Template - Mandatory Fields in Green. See Sheet 2 for instructions on using this template.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Identifying Fields ,,,,,Locational Data,,,,,Provenance,,,,,,Age,,,,,,Provenience,,,,,,Additional Information,,
Lab Number,Field Number,Material Dated,Taxa Dated,Type of Date,Locality,Latitude,Longitude,Map Sheet,Elevation     (m ASL),Submitter,Date Submitted,Collector,Date Collected,Updater,Date Updated,Measured Age,MA Sigma,Normalized Age,NA Sigma,Delta 13C (per mil),Delta 13 C Source,Significance,Site Identifier,Site Name,Stratigraphic Component,Context,Associated Taxa,Additional Information,Comments,References
AA-51442,,bulk sediment,,Archaeological,,-3.044113,38.930608,,230,,,David Wright,,Colin Courtney Mustaphi,03/09/2015,,,2527,84,-19.4,Measured,,Kahinju,,,,,,,"Wright, D. K. (2005). Environment, chronology and resource exploitation of the Pastoral Neolithic in Tsavo, Kenya. Unpublished Phd University of Illinois Chicago.; Wright, D. K. (2007). Tethered mobility and riparian resource exploitation among Neolithic hunters and herders in the Galana river basin, Kenyan coastal lowlands. Environmental Archaeology, 12(1), 25-47."
AA-51443,,bulk sediment,,Archaeological,,-3.044113,38.930608,,230,,,David Wright,,Colin Courtney Mustaphi,03/09/2015,,,2987,57,-25.7,Measured,,Kahinju,,,,,,,"Wright, D. K. (2005). Environment, chronology and resource exploitation of the Pastoral Neolithic in Tsavo, Kenya. Unpublished Phd University of Illinois Chicago.; Wright, D. K. (2007). Tethered mobility and riparian resource exploitation among Neolithic hunters and herders in the Galana river basin, Kenyan coastal lowlands. Environmental Archaeology, 12(1), 25-47."
AA-51444,,bulk sediment,,Archaeological,,-3.044113,38.930608,,230,,,David Wright,,Colin Courtney Mustaphi,03/09/2015,,,3423,55,-23.7,Measured,,Kahinju,,,,,,,"Wright, D. K. (2005). Environment, chronology and resource exploitation of the Pastoral Neolithic in Tsavo, Kenya. Unpublished Phd University of Illinois Chicago.; Wright, D. K. (2007). Tethered mobility and riparian resource exploitation among Neolithic hunters and herders in the Galana river basin, Kenyan coastal lowlands. Environmental Archaeology, 12(1), 25-47."
AA-51445,,bulk sediment,,Archaeological,,-3.044113,38.930608,,230,,,David Wright,,Colin Courtney Mustaphi,03/09/2015,,,2973,52,-24,Measured,,Kahinju,,,,,,,"Wright, D. K. (2005). Environment, chronology and resource exploitation of the Pastoral Neolithic in Tsavo, Kenya. Unpublished Phd University of Illinois Chicago.; Wright, D. K. (2007). Tethered mobility and riparian resource exploitation among Neolithic hunters and herders in the Galana river basin, Kenyan coastal lowlands. Environmental Archaeology, 12(1), 25-47."
AA-51447,,bulk sediment,,Archaeological,,-3.067686,39.164429,,174,,,David Wright,,Colin Courtney Mustaphi,03/09/2015,,,1486,39,-28.1,Measured,,Kathuva,,,,,,,"Wright, D. K. (2005). Environment, chronology and resource exploitation of the Pastoral Neolithic in Tsavo, Kenya. Unpublished Phd University of Illinois Chicago.; Wright, D. K. (2007). Tethered mobility and riparian resource exploitation among Neolithic hunters and herders in the Galana river basin, Kenyan coastal lowlands. Environmental Archaeology, 12(1), 25-47."
AA-51448,,bulk sediment,,Archaeological,,-3.067686,39.164429,,174,,,David Wright,,Colin Courtney Mustaphi,03/09/2015,,,1526,61,-27,Measured,,Kathuva,,,,,,,"Wright, D. K. (2005). Environment, chronology and resource exploitation of the Pastoral Neolithic in Tsavo, Kenya. Unpublished Phd University of Illinois Chicago.; Wright, D. K. (2007). Tethered mobility and riparian resource exploitation among Neolithic hunters and herders in the Galana river basin, Kenyan coastal lowlands. Environmental Archaeology, 12(1), 25-47."
AA-51449,,bulk sediment,,Archaeological,,-3.067686,39.164429,,174,,,David Wright,,Colin Courtney Mustaphi,03/09/2015,,,1671,49,-25.4,Measured,,Kathuva,,,,,,,"Wright, D. K. (2005). Environment, chronology and resource exploitation of the Pastoral Neolithic in Tsavo, Kenya. Unpublished Phd University of Illinois Chicago.; Wright, D. K. (2007). Tethered mobility and riparian resource exploitation among Neolithic hunters and herders in the Galana river basin, Kenyan coastal lowlands. Environmental Archaeology, 12(1), 25-47."
OxA-14499,,charcoal,,Archaeological,,-0.351268,34.810693,,1150,,,,,Colin Courtney Mustaphi,03/09/2015,,,1449,28,-25,Estimated,,Wadh Lang'o,Unit A,,,,,,"Lane, P., Ashley, C., Seitsonen, O., Harvey, P., Mire, S., & Odede, F. (2007). The transition to farming in eastern Africa: new faunal and dating evidence from Wadh Lang'o and Usenge, Kenya. Antiquity, 81(311), 62-81."
OxA-14500,,charcoal,,Archaeological,,-0.351268,34.810693,,1150,,,,,Colin Courtney Mustaphi,03/09/2015,,,1484,26,-25,Estimated,,Wadh Lang'o,Unit A,,,,,,"Lane, P., Ashley, C., Seitsonen, O., Harvey, P., Mire, S., & Odede, F. (2007). The transition to farming in eastern Africa: new faunal and dating evidence from Wadh Lang'o and Usenge, Kenya. Antiquity, 81(311), 62-81."
OxA-14501,,charcoal,,Archaeological,,-0.351268,34.810693,,1150,,,,,Colin Courtney Mustaphi,03/09/2015,,,1741,28,-25,Estimated,,Wadh Lang'o,Unit A,,,,,,"Lane, P., Ashley, C., Seitsonen, O., Harvey, P., Mire, S., & Odede, F. (2007). The transition to farming in eastern Africa: new faunal and dating evidence from Wadh Lang'o and Usenge, Kenya. Antiquity, 81(311), 62-81."
