,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radiocarbon Date Upload Template - Mandatory Fields in Green. See Sheet 2 for instructions on using this template.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Identifying Fields ,,,,,Locational Data,,,,,Provenance,,,,,,Age,,,,,,Provenience,,,,,,Additional Information,,
Lab Number,Field Number,Material Dated,Taxa Dated,Type of Date,Locality,Latitude,Longitude,Map Sheet,Elevation     (m ASL),Submitter,Date Submitted,Collector,Date Collected,Updater,Date Updated,Measured Age,MA Sigma,Normalized Age,NA Sigma,Delta 13C (per mil),Delta 13 C Source,Significance,Site Identifier,Site Name,Stratigraphic Component,Context,Associated Taxa,Additional Information,Comments,References
OxA-14502,,charcoal,,Archaeological,,-0.351268,34.810693,,1150,,,,,Colin Courtney Mustaphi,03/09/2015,,,1698,28,-25,Estimated,,Wadh Lang'o,Unit B,,,,,,"Lane, P., Ashley, C., Seitsonen, O., Harvey, P., Mire, S., & Odede, F. (2007). The transition to farming in eastern Africa: new faunal and dating evidence from Wadh Lang'o and Usenge, Kenya. Antiquity, 81(311), 62-81."
OxA-14503,,charcoal,,Archaeological,,-0.351268,34.810693,,1150,,,,,Colin Courtney Mustaphi,03/09/2015,,,1746,28,-25,Estimated,,Wadh Lang'o,Unit B,,,,,,"Lane, P., Ashley, C., Seitsonen, O., Harvey, P., Mire, S., & Odede, F. (2007). The transition to farming in eastern Africa: new faunal and dating evidence from Wadh Lang'o and Usenge, Kenya. Antiquity, 81(311), 62-81."
OxA-14504,,charcoal,,Archaeological,,-0.351268,34.810693,,1150,,,,,Colin Courtney Mustaphi,03/09/2015,,,1742,27,-25,Estimated,,Wadh Lang'o,Unit B,,,,,,"Lane, P., Ashley, C., Seitsonen, O., Harvey, P., Mire, S., & Odede, F. (2007). The transition to farming in eastern Africa: new faunal and dating evidence from Wadh Lang'o and Usenge, Kenya. Antiquity, 81(311), 62-81."
OxA-14505,,charcoal,,Archaeological,,-0.351268,34.810693,,1150,,,,,Colin Courtney Mustaphi,03/09/2015,,,1819,28,-25,Estimated,,Wadh Lang'o,Unit B,,,,,,"Lane, P., Ashley, C., Seitsonen, O., Harvey, P., Mire, S., & Odede, F. (2007). The transition to farming in eastern Africa: new faunal and dating evidence from Wadh Lang'o and Usenge, Kenya. Antiquity, 81(311), 62-81."
OxA-14506,,charcoal,,Archaeological,,-0.351268,34.810693,,1150,,,,,Colin Courtney Mustaphi,03/09/2015,,,1989,28,-25,Estimated,,Wadh Lang'o,Unit A,,,,,,"Lane, P., Ashley, C., Seitsonen, O., Harvey, P., Mire, S., & Odede, F. (2007). The transition to farming in eastern Africa: new faunal and dating evidence from Wadh Lang'o and Usenge, Kenya. Antiquity, 81(311), 62-81."
Beta-186498,,charcoal,,Archaeological,,-0.036284,34.04445,,1142,,,,,Colin Courtney Mustaphi,03/09/2015,,,170,40,-25,Estimated,,Usenge 3,Usenge 3,,,,,,"Lane, P., Ashley, C., Seitsonen, O., Harvey, P., Mire, S., & Odede, F. (2007). The transition to farming in eastern Africa: new faunal and dating evidence from Wadh Lang'o and Usenge, Kenya. Antiquity, 81(311), 62-81."
Beta-190746,,charcoal,,Archaeological,,-0.036284,34.04445,,1142,,,,,Colin Courtney Mustaphi,03/09/2015,,,1560,40,-25,Estimated,,Usenge 3,Usenge 3,,,,,,"Lane, P., Ashley, C., Seitsonen, O., Harvey, P., Mire, S., & Odede, F. (2007). The transition to farming in eastern Africa: new faunal and dating evidence from Wadh Lang'o and Usenge, Kenya. Antiquity, 81(311), 62-81."
Beta-190747,,charcoal,,Archaeological,,-0.036284,34.04445,,1142,,,,,Colin Courtney Mustaphi,03/09/2015,,,3310,40,-25,Estimated,,Usenge 3,Usenge 3,,,,,,"Lane, P., Ashley, C., Seitsonen, O., Harvey, P., Mire, S., & Odede, F. (2007). The transition to farming in eastern Africa: new faunal and dating evidence from Wadh Lang'o and Usenge, Kenya. Antiquity, 81(311), 62-81."
Beta-186499,,charcoal,,Archaeological,,-0.036284,34.04445,,1142,,,,,Colin Courtney Mustaphi,03/09/2015,,,3240,70,-25,Estimated,,Usenge 3,Usenge 3,,,,,,"Lane, P., Ashley, C., Seitsonen, O., Harvey, P., Mire, S., & Odede, F. (2007). The transition to farming in eastern Africa: new faunal and dating evidence from Wadh Lang'o and Usenge, Kenya. Antiquity, 81(311), 62-81."
Beta-189982,,charcoal (wood),,Archaeological,,0.737778,36.465556,,1904,,,,,Colin Courtney Mustaphi,09/09/2015,,,480,50,-25.2,Measured,,Loitigon,ash mound,,,,,96 cm below surface,"Taylor, D., P. J. Lane, V. Muiruri, A. Ruttledge, R. Gaj McKeever, T. Nolan, P. Kenny, and R. Goodhue. ""Mid-to late-Holocene vegetation dynamics on the Laikipia Plateau, Kenya."" The Holocene 15, no. 6 (2005): 837-846"
N-1068,,charcoal,,Archaeological,,-2.416667,34.833333,,,,,John R.F. Bower,,Colin Courtney Mustaphi,18/11/2015,,,265,100,-25,Estimated,,Seronera Game Lodge,SE-3,,,,ages reported as AD and BC dates and converted for here,,"Bower, J. R. (1973). Seronera: excavations at a stone bowl site in the Serengeti National Park, Tanzania. AZANIA: Journal of the British Institute in Eastern Africa, 8(1), 71-104."
N-1067,,charcoal,,Archaeological,,-2.416667,34.833333,,,,,John R.F. Bower,,Colin Courtney Mustaphi,18/11/2015,,,2020,115,-25,Estimated,,Seronera Game Lodge,SE-3,,,,ages reported as AD and BC dates and converted for here,,"Bower, J. R. (1973). Seronera: excavations at a stone bowl site in the Serengeti National Park, Tanzania. AZANIA: Journal of the British Institute in Eastern Africa, 8(1), 71-104."
OxA-1062,,mud-brick wall,,Archaeological,,22.692141,31.768603,,220,,,,,Colin Courtney Mustaphi,30/01/2016,,,2800,80,-10,Estimated,,Qasr Ibrim,,,,Hordeum vulgare,,,"Rowley-Conwy, P., 1988. The camel in the Nile Valley: New radiocarbon accelerator (AMS) dates from Qa?r Ibrîm. The Journal of Egyptian Archaeology, pp.245-248."
GrA-33279,,bulk sediment,,Geological,,-5.116667,38.666667,,654,,,Cassian Mumbi,,Colin Courtney Mustaphi,30/08/2015,,,0,0,-20.5,Measured,,Derema Swamp,,,,,,modern date?,"Mumbi CT, Marchant R, Lane P (2014). Vegetation response to climate change and human impacts in the Usambara Mountains. ISRN Forestry 2014 Hindawi Publishing Corporation ISRN Forestry Volume 2014, Article ID 240510, 12 pages"
GrA-33071,,bulk sediment,,Geological,,-5.116667,38.666667,,654,,,Cassian Mumbi,,Colin Courtney Mustaphi,30/08/2015,,,195,35,-23.81,Measured,,Derema Swamp,,,,,,,"Mumbi CT, Marchant R, Lane P (2014). Vegetation response to climate change and human impacts in the Usambara Mountains. ISRN Forestry 2014 Hindawi Publishing Corporation ISRN Forestry Volume 2014, Article ID 240510, 12 pages"
GrA-33073,,bulk sediment,,Geological,,-5.116667,38.666667,,654,,,Cassian Mumbi,,Colin Courtney Mustaphi,30/08/2015,,,0,0,-28.18,Measured,,Derema Swamp,,,,,,modern date?,"Mumbi CT, Marchant R, Lane P (2014). Vegetation response to climate change and human impacts in the Usambara Mountains. ISRN Forestry 2014 Hindawi Publishing Corporation ISRN Forestry Volume 2014, Article ID 240510, 12 pages"
GrA-33075,,bulk sediment,,Geological,,-5.116667,38.666667,,654,,,Cassian Mumbi,,Colin Courtney Mustaphi,30/08/2015,,,265,35,-24.92,Measured,,Derema Swamp,,,,,,,"Mumbi CT, Marchant R, Lane P (2014). Vegetation response to climate change and human impacts in the Usambara Mountains. ISRN Forestry 2014 Hindawi Publishing Corporation ISRN Forestry Volume 2014, Article ID 240510, 12 pages"
GrA-33076,,bulk sediment,,Geological,,-5.116667,38.666667,,654,,,Cassian Mumbi,,Colin Courtney Mustaphi,30/08/2015,,,285,35,-26.23,Measured,,Derema Swamp,,,,,,,"Mumbi CT, Marchant R, Lane P (2014). Vegetation response to climate change and human impacts in the Usambara Mountains. ISRN Forestry 2014 Hindawi Publishing Corporation ISRN Forestry Volume 2014, Article ID 240510, 12 pages"
SUERC-16754,,bulk sediment,,Geological,,-7.1222,37.620533,,2433,,,Jemma Finch,,Colin Courtney Mustaphi,30/08/2015,,,223,35,-22.9,Measured,,Deva-Deva,,,,,,,"Finch JM, Marchant R (2011). A palaeoecological investigation into the role of fire and human activity in the development of montane grasslands in East Africa. Vegetation History and Archaeobotany 20, 109-124.; Finch J (2011). Vegetation history of a biodiversity hotspot: the Eastern Arc Mountains of Tanzania and Kenya. Environment Dept. U of York; Finch JM, Leng MJ, Marchant R (2009). Late Quaternary vegetation dynamics in a biodiversity hotspot, the Uluguru Mountains of Tanzania. Quaternary Research 72, 111-122."
Beta-249995,,bulk sediment,,Geological,,-7.1222,37.620533,,2433,,,Jemma Finch,,Colin Courtney Mustaphi,30/08/2015,,,1140,40,-20.6,Measured,,Deva-Deva,,,,,,,"Finch JM, Marchant R (2011). A palaeoecological investigation into the role of fire and human activity in the development of montane grasslands in East Africa. Vegetation History and Archaeobotany 20, 109-124.; Finch J (2011). Vegetation history of a biodiversity hotspot: the Eastern Arc Mountains of Tanzania and Kenya. Environment Dept. U of York; Finch JM, Leng MJ, Marchant R (2009). Late Quaternary vegetation dynamics in a biodiversity hotspot, the Uluguru Mountains of Tanzania. Quaternary Research 72, 111-122."
Wk-22548,,bulk sediment,,Geological,,-7.1222,37.620533,,2433,,,Jemma Finch,,Colin Courtney Mustaphi,30/08/2015,,,3618,30,-21.1,Measured,,Deva-Deva,,,,,,,"Finch JM, Marchant R (2011). A palaeoecological investigation into the role of fire and human activity in the development of montane grasslands in East Africa. Vegetation History and Archaeobotany 20, 109-124.; Finch J (2011). Vegetation history of a biodiversity hotspot: the Eastern Arc Mountains of Tanzania and Kenya. Environment Dept. U of York; Finch JM, Leng MJ, Marchant R (2009). Late Quaternary vegetation dynamics in a biodiversity hotspot, the Uluguru Mountains of Tanzania. Quaternary Research 72, 111-122."
SUERC-16757,,bulk sediment,,Geological,,-7.1222,37.620533,,2433,,,Jemma Finch,,Colin Courtney Mustaphi,30/08/2015,,,8101,40,-24,Measured,,Deva-Deva,,,,,,,"Finch JM, Marchant R (2011). A palaeoecological investigation into the role of fire and human activity in the development of montane grasslands in East Africa. Vegetation History and Archaeobotany 20, 109-124.; Finch J (2011). Vegetation history of a biodiversity hotspot: the Eastern Arc Mountains of Tanzania and Kenya. Environment Dept. U of York; Finch JM, Leng MJ, Marchant R (2009). Late Quaternary vegetation dynamics in a biodiversity hotspot, the Uluguru Mountains of Tanzania. Quaternary Research 72, 111-122."
Beta-249996,,bulk sediment,,Geological,,-7.1222,37.620533,,2433,,,Jemma Finch,,Colin Courtney Mustaphi,30/08/2015,,,5820,50,-27,Estimated,,Deva-Deva,,,,,,,"Finch JM, Marchant R (2011). A palaeoecological investigation into the role of fire and human activity in the development of montane grasslands in East Africa. Vegetation History and Archaeobotany 20, 109-124.; Finch J (2011). Vegetation history of a biodiversity hotspot: the Eastern Arc Mountains of Tanzania and Kenya. Environment Dept. U of York; Finch JM, Leng MJ, Marchant R (2009). Late Quaternary vegetation dynamics in a biodiversity hotspot, the Uluguru Mountains of Tanzania. Quaternary Research 72, 111-122."
OS-60146,,bulk sediment,,Geological,,-7.1222,37.620533,,2433,,,Jemma Finch,,Colin Courtney Mustaphi,30/08/2015,,,19950,85,-27,Estimated,,Deva-Deva,,,,,,,"Finch JM, Marchant R (2011). A palaeoecological investigation into the role of fire and human activity in the development of montane grasslands in East Africa. Vegetation History and Archaeobotany 20, 109-124.; Finch J (2011). Vegetation history of a biodiversity hotspot: the Eastern Arc Mountains of Tanzania and Kenya. Environment Dept. U of York; Finch JM, Leng MJ, Marchant R (2009). Late Quaternary vegetation dynamics in a biodiversity hotspot, the Uluguru Mountains of Tanzania. Quaternary Research 72, 111-122."
Wk-22549,,bulk sediment,,Geological,,-7.1222,37.620533,,2433,,,Jemma Finch,,Colin Courtney Mustaphi,30/08/2015,,,32111,780,-27,Estimated,,Deva-Deva,,,,,,,"Finch JM, Marchant R (2011). A palaeoecological investigation into the role of fire and human activity in the development of montane grasslands in East Africa. Vegetation History and Archaeobotany 20, 109-124.; Finch J (2011). Vegetation history of a biodiversity hotspot: the Eastern Arc Mountains of Tanzania and Kenya. Environment Dept. U of York; Finch JM, Leng MJ, Marchant R (2009). Late Quaternary vegetation dynamics in a biodiversity hotspot, the Uluguru Mountains of Tanzania. Quaternary Research 72, 111-122."
Wk-18791,,bulk sediment,,Geological,,-7.1222,37.620533,,2433,,,Jemma Finch,,Colin Courtney Mustaphi,30/08/2015,,,42606,1,-27,Estimated,,Deva-Deva,,,,,,no radiocarbon date error given,"Finch JM, Marchant R (2011). A palaeoecological investigation into the role of fire and human activity in the development of montane grasslands in East Africa. Vegetation History and Archaeobotany 20, 109-124.; Finch J (2011). Vegetation history of a biodiversity hotspot: the Eastern Arc Mountains of Tanzania and Kenya. Environment Dept. U of York; Finch JM, Leng MJ, Marchant R (2009). Late Quaternary vegetation dynamics in a biodiversity hotspot, the Uluguru Mountains of Tanzania. Quaternary Research 72, 111-122."
GrA-33662,,bulk sediment,,Geological,,-4.966667,38.416667,,1147,,,,,Colin Courtney Mustaphi,30/08/2015,,,2680,45,-13.54,Measured,,Madumu,,,,,,,"Mumbi CT, Marchant R, Lane P (2014). Vegetation response to climate change and human impacts in the Usambara Mountains. ISRN Forestry 2014 Hindawi Publishing Corporation ISRN Forestry Volume 2014, Article ID 240510, 12 pages"
GrA-33077,,bulk sediment,,Geological,,-4.966667,38.416667,,1147,,,,,Colin Courtney Mustaphi,30/08/2015,,,185,35,-15.43,Measured,,Madumu,,,,,,,"Mumbi CT, Marchant R, Lane P (2014). Vegetation response to climate change and human impacts in the Usambara Mountains. ISRN Forestry 2014 Hindawi Publishing Corporation ISRN Forestry Volume 2014, Article ID 240510, 12 pages"
GrA-33663,,bulk sediment,,Geological,,-4.966667,38.416667,,1147,,,,,Colin Courtney Mustaphi,30/08/2015,,,4315,45,-13.81,Measured,,Madumu,,,,,,,"Mumbi CT, Marchant R, Lane P (2014). Vegetation response to climate change and human impacts in the Usambara Mountains. ISRN Forestry 2014 Hindawi Publishing Corporation ISRN Forestry Volume 2014, Article ID 240510, 12 pages"
GrA-24635,,bulk sediment,,Geological,,-7.816667,35.916667,,2218,,,,,Colin Courtney Mustaphi,30/08/2015,,,1480,60,-19.4,Measured,,Iringa,,,,,,,"Mumbi CT, Marchant R, Hooghiemstra H, Wooller MJ (2008). Late Quaternary vegetation reconstruction from the Eastern Arc Mountains, Tanzania. Quaternary Research 69, 326-341."
GrA-24637,,bulk sediment,,Geological,,-7.816667,35.916667,,2218,,,,,Colin Courtney Mustaphi,30/08/2015,,,15110,80,-20.12,Measured,,Iringa,,,,,,,"Mumbi CT, Marchant R, Hooghiemstra H, Wooller MJ (2008). Late Quaternary vegetation reconstruction from the Eastern Arc Mountains, Tanzania. Quaternary Research 69, 326-341."
GrA-24588,,bulk sediment,,Geological,,-7.816667,35.916667,,2218,,,,,Colin Courtney Mustaphi,30/08/2015,,,23950,200,-20.63,Measured,,Iringa,,,,,,,"Mumbi CT, Marchant R, Hooghiemstra H, Wooller MJ (2008). Late Quaternary vegetation reconstruction from the Eastern Arc Mountains, Tanzania. Quaternary Research 69, 326-341."
GrA-24597,,bulk sediment,,Geological,,-7.816667,35.916667,,2218,,,,,Colin Courtney Mustaphi,30/08/2015,,,22950,470,-20.68,Measured,,Iringa,,,,,,,"Mumbi CT, Marchant R, Hooghiemstra H, Wooller MJ (2008). Late Quaternary vegetation reconstruction from the Eastern Arc Mountains, Tanzania. Quaternary Research 69, 326-341."
GrA-24598,,bulk sediment,,Geological,,-7.816667,35.916667,,2218,,,,,Colin Courtney Mustaphi,30/08/2015,,,19230,100,-22.18,Measured,,Iringa,,,,,,,"Mumbi CT, Marchant R, Hooghiemstra H, Wooller MJ (2008). Late Quaternary vegetation reconstruction from the Eastern Arc Mountains, Tanzania. Quaternary Research 69, 326-341."
GrA-28019,,bulk sediment,,Geological,,-7.816667,35.916667,,2218,,,,,Colin Courtney Mustaphi,30/08/2015,,,8345,45,-22.27,Measured,,Iringa,,,,,,,"Mumbi CT, Marchant R, Hooghiemstra H, Wooller MJ (2008). Late Quaternary vegetation reconstruction from the Eastern Arc Mountains, Tanzania. Quaternary Research 69, 326-341."
GrA-28020,,bulk sediment,,Geological,,-7.816667,35.916667,,2218,,,,,Colin Courtney Mustaphi,30/08/2015,,,25580,200,-22.22,Measured,,Iringa,,,,,,,"Mumbi CT, Marchant R, Hooghiemstra H, Wooller MJ (2008). Late Quaternary vegetation reconstruction from the Eastern Arc Mountains, Tanzania. Quaternary Research 69, 326-341."
GrA-28021,,bulk sediment,,Geological,,-7.816667,35.916667,,2218,,,,,Colin Courtney Mustaphi,30/08/2015,,,23690,120,-20.09,Measured,,Iringa,,,,,,,"Mumbi CT, Marchant R, Hooghiemstra H, Wooller MJ (2008). Late Quaternary vegetation reconstruction from the Eastern Arc Mountains, Tanzania. Quaternary Research 69, 326-341."
GrA-28023,,bulk sediment,,Geological,,-7.816667,35.916667,,2218,,,,,Colin Courtney Mustaphi,30/08/2015,,,37940,480,-20.3,Measured,,Iringa,,,,,,,"Mumbi CT, Marchant R, Hooghiemstra H, Wooller MJ (2008). Late Quaternary vegetation reconstruction from the Eastern Arc Mountains, Tanzania. Quaternary Research 69, 326-341."
Wk-23589,,bulk sediment,,Geological,,-7.145333,37.631333,,2411,,,Paul Lane,,Colin Courtney Mustaphi,30/08/2015,,,1919,30,-21.3,Measured,,Kitumbako,,,,,,,"Finch JM, Marchant R (2011). A palaeoecological investigation into the role of fire and human activity in the development of montane grasslands in East Africa. Vegetation History and Archaeobotany 20, 109-124."
Wk-22550,,bulk sediment,,Geological,,-7.145333,37.631333,,2411,,,Jemma Finch,,Colin Courtney Mustaphi,30/08/2015,,,2161,30,-18.5,Measured,,Kitumbako,,,,,,,"Finch JM, Marchant R (2011). A palaeoecological investigation into the role of fire and human activity in the development of montane grasslands in East Africa. Vegetation History and Archaeobotany 20, 109-124."
Wk-23590,,bulk sediment,,Geological,,-7.145333,37.631333,,2411,,,Paul Lane,,Colin Courtney Mustaphi,30/08/2015,,,6213,34,-21.3,Measured,,Kitumbako,,,,,,,"Finch JM, Marchant R (2011). A palaeoecological investigation into the role of fire and human activity in the development of montane grasslands in East Africa. Vegetation History and Archaeobotany 20, 109-124."
OS-60147,,bulk sediment,,Geological,,-7.145333,37.631333,,2411,,,Jemma Finch,,Colin Courtney Mustaphi,30/08/2015,,,10650,50,-23.32,Measured,,Kitumbako,,,,,,,"Finch JM, Marchant R (2011). A palaeoecological investigation into the role of fire and human activity in the development of montane grasslands in East Africa. Vegetation History and Archaeobotany 20, 109-124."
GrA-33279,,bulk sediment,,Geological,,-5.116667,38.666667,,654,,,Cassian Mumbi,,Colin Courtney Mustaphi,30/08/2015,,,0,0,-20.31,Measured,,Mbomole,,,,,,,"Mumbi CT, Marchant R, Hooghiemstra H, Wooller MJ (2008). Late Quaternary vegetation reconstruction from the Eastern Arc Mountains, Tanzania. Quaternary Research 69, 326-341."
GrA-33071,,bulk sediment,,Geological,,-5.116667,38.666667,,654,,,Cassian Mumbi,,Colin Courtney Mustaphi,30/08/2015,,,195,35,-23.53,Measured,,Mbomole,,,,,,,"Mumbi CT, Marchant R, Hooghiemstra H, Wooller MJ (2008). Late Quaternary vegetation reconstruction from the Eastern Arc Mountains, Tanzania. Quaternary Research 69, 326-341."
GrA-33073,,bulk sediment,,Geological,,-5.116667,38.666667,,654,,,Cassian Mumbi,,Colin Courtney Mustaphi,30/08/2015,,,0,0,-26.69,Measured,,Mbomole,,,,,,,"Mumbi CT, Marchant R, Hooghiemstra H, Wooller MJ (2008). Late Quaternary vegetation reconstruction from the Eastern Arc Mountains, Tanzania. Quaternary Research 69, 326-341."
Wk-23591,,bulk sediment,,Geological,,-7.3,36.23,,1826,,,Jemma Finch,,Colin Courtney Mustaphi,30/08/2015,,,0,0,-26.2,Measured,,Mgundamvaha grassland,,,,,,,"Finch, Jemma, Matthew Wooller, and Rob Marchant. ""Tracing long?term tropical montane ecosystem change in the Eastern Arc Mountains of Tanzania."" Journal of Quaternary Science 29, no. 3 (2014): 269-278."
Wk-23581,,bulk sediment,,Geological,,-7.3,36.23,,1826,,,Jemma Finch,,Colin Courtney Mustaphi,30/08/2015,,,2744,30,-24.4,Measured,,Mgundamvaha grassland,,,,,,,"Finch, Jemma, Matthew Wooller, and Rob Marchant. ""Tracing long?term tropical montane ecosystem change in the Eastern Arc Mountains of Tanzania."" Journal of Quaternary Science 29, no. 3 (2014): 269-278."
Beta-274188,,bulk sediment,,Geological,,-7.3,36.23,,1826,,,Jemma Finch,,Colin Courtney Mustaphi,30/08/2015,,,22440,120,-20.4,Measured,,Mgundamvaha grassland,,,,,,,"Finch, Jemma, Matthew Wooller, and Rob Marchant. ""Tracing long?term tropical montane ecosystem change in the Eastern Arc Mountains of Tanzania."" Journal of Quaternary Science 29, no. 3 (2014): 269-278."
Beta-274189,,bulk sediment,,Geological,,-7.3,36.23,,1826,,,Jemma Finch,,Colin Courtney Mustaphi,30/08/2015,,,25650,150,-19.2,Measured,,Mgundamvaha grassland,,,,,,,"Finch, Jemma, Matthew Wooller, and Rob Marchant. ""Tracing long?term tropical montane ecosystem change in the Eastern Arc Mountains of Tanzania."" Journal of Quaternary Science 29, no. 3 (2014): 269-278."
Beta-275361,,bulk sediment,,Geological,,-7.3,36.23,,1826,,,Jemma Finch,,Colin Courtney Mustaphi,30/08/2015,,,24630,150,-17.4,Measured,,Mgundamvaha grassland,,,,,,,"Finch, Jemma, Matthew Wooller, and Rob Marchant. ""Tracing long?term tropical montane ecosystem change in the Eastern Arc Mountains of Tanzania."" Journal of Quaternary Science 29, no. 3 (2014): 269-278."
Wk-23582,,bulk sediment,,Geological,,-7.3,36.23,,1826,,,Jemma Finch,,Colin Courtney Mustaphi,30/08/2015,,,18236,112,-23.4,Measured,,Mgundamvaha grassland,,,,,,,"Finch, Jemma, Matthew Wooller, and Rob Marchant. ""Tracing long?term tropical montane ecosystem change in the Eastern Arc Mountains of Tanzania."" Journal of Quaternary Science 29, no. 3 (2014): 269-278."
